020157918,30490624
020189219,242565122
020317991,261324804
020009498,01523717
020177506,00049158
020162714,00884744
020166542,32161803
020192615,00049167
020186407,30818320
020026282,00005464
020033102,32819886
020236420,27901977
020259262,14614561
020029731,00098338
020073608,33030181
020153607,47775782
020309076,00098344
020311144,00098348
020243992,00868400
020024698,27811848
020006750,31607475
020097963,183402548
020320013,17776693
020136591,36126777
020099982,51855420
020000135,00000066
020000018,00000067
020000029,00000068
020000022,00000069
020248852,01032262
020197882,00065607
020187334,304398412
020238820,759922766
020309302,00098385
020188431,85622867
020247961,00065620
020180424,41361422
020192762,00049238
020033143,02687063
020321762,11736420
020169790,00032860
020208325,01130591
020114974,313426016
020142263,00032865
020251921,00082019
020307887,00095590
020086491,00065638
020284783,01097832
020100152,54018155
020202950,70189164
020269001,13123694
020196364,31883375
020113528,07274608
020231827,75087988
020180561,00671861
020234592,677838966
020070761,03915895
020287829,611549307
020019263,06537343
020067946,00011461
020077912,00021867
020230037,00076052
020157963,50348171
020115342,07041067
020000109,00000149
020068904,425937359
020094755,00016537
020236801,00049306
020143264,30441627
020257066,757973148
020245836,54624413
020082834,08279408
020238117,00180386
020000270,00000164
020024993,551157925
020000362,00000167
020183084,09169607
020165174,11141292
020029617,30474414
,00016559
020186340,06336198
020002597,32211122
020109461,00082103
020010313,232538296
020057948,05308601
020292459,00082107
020065450,00016575
020085668,00278721
020037696,00120182
020058605,156975303
020208707,747798729
020198433,00065739
020118456,00442572
020139072,36126754
020000474,00000208
020146135,00049363
020230774,00409813
020026981,13762774
020141192,00049368
020063727,423067865
020139880,10526434
020270349,68829405
020146269,00049374
020177990,00049378
020315734,11469027
020224254,33210597
020065097,00016614
020147314,00049384
020124515,12042475
020134977,642023662
020192610,243941615
020000423,00000240
020234265,09945330
020101364,00021886
020183895,27902202
020141361,00049405
020112081,00032092
020134488,27902207
020288710,00092886
020277794,05210374
020150480,61178119
020122670,02523401
020134540,27902219
020202256,00055765
020000534,00000269
020226018,00360718
020190252,171049231
020141411,00049429
020238552,00082198
020149279,46907675
020248994,227148062
020000637,00000289
,01524002
020178071,03375395
020237523,00180046
020174733,00033062
020000859,00000295
020079830,41872092
020287530,55066925
020155468,02949422
020068827,09194205
020186148,40862002
020039011,27902259
020078007,289554741
020000093,00000311
020143181,00048020
020174528,30572859
020134521,28164414
020165126,13041983
020147552,00049472
020308559,01439115
020000820,00540998
020120920,09890529
020210392,747798857
020231815,00065867
020311030,00246092
020089244,40649043
020198915,00065877
020253001,64733527
020313142,00098648
020263906,265077082
020190535,00049500
020055854,09830751
020323145,00098656
020263301,12850796
020274008,06996323
020115082,00033124
020065451,00016741
020238792,00082280
020046767,01196393
020310803,00098667
020177826,61210988
020188904,00065901
020188928,00065902
020269432,13156721
020260963,32276851
020115112,00033145
020031760,00016762
020123653,18710907
020065609,00016766
020055370,32948608
020289605,00065921
020016754,00639362
020240654,32227717
020111594,12558920
020281307,04244509
020134665,00524685
020249264,00065935
020193914,00049552
020064723,00426385
020205060,09350998
020114501,00033176
020321384,00098372
020211793,747798941
020000912,00000415
020211840,747798945
020277136,13755345
020211895,747798947
020211944,747798950
020121651,51675559
020129924,640139689
020170413,00623019
020123361,51495340
020114541,00033199
020261259,44564912
020086077,00278961
020189212,00065971
020010327,30671286
020161672,269435320
020001342,00000442
020142387,56492477
020275446,209846720
020082125,269435329
020114580,00033218
020142232,00049603
020290960,499220936
020055995,10273225
020250326,50430414
020180702,65183821
020114830,32047568
020192724,54018513
020087676,00016854
020224458,22659543
020119194,27476445
020039241,27902433
020020734,02001659
020238493,00180708
020105697,35701222
020007257,09355751
020214281,00164331
020031425,19775980
020000674,00000493
020257817,761201134
020051874,122309373
020321962,06078960
020199196,269435377
020119241,27476468
020048268,30919422
020170059,29636009
020051998,43434490
020225434,00355071
020293284,00082428
020083271,00267690
020253355,00082433
020175300,00033282
020111493,00033283
020199759,00066055
020000846,00000520
020175362,00033290
020137588,00098830
020174271,09323024
020030808,11043345
020213914,747799058
020311588,00098836
020199809,00066069
020049530,39780887
020218837,33194520
020087348,00066074
020287923,611898799
020324639,11747868
020240465,33145374
020217297,09366277
020134682,28164641
020159789,00115234
020255615,00084742
020111608,00033318
020139557,297222695
020115387,00033320
020139644,297222697
020245351,00066091
020049434,32932398
020311361,00246324
020055474,32948789
020112316,00023478
020145032,28246585
020218323,00852538
020271319,62324831
020007353,11190844
020241113,00983616
020050258,42721376
020242995,66912839
020039292,27902539
020238646,00180812
020085168,00246349
020111235,11027025
020001151,00000594
020137687,00098899
020226608,05112411
020191579,00049758
020147751,00049759
020311077,13795937
020103232,231162466
020020634,02146916
020038873,27902054
020097264,00016999
020196668,32785000
020020491,02065004
020076613,244005116
020277186,13943410
020196717,32785011
020278147,00770676
020132759,00046526
020321287,00254057
020308898,01442425
020190536,00066172
020194534,00038336
020238043,31720066
020001428,00000645
020250544,00082566
020001453,00000647
020183758,12943468
020273486,297222797
020003133,00011032
020248757,45548179
020002291,00000661
